run_id	config_hash	status	mode	val_bpb	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	depth	artifact_bytes	output_dir	results_path
ar5090-20260322-045059	567fcee1fde116d4cc8a88efeb214eb3d05eea19b816c69b56c3f396ba46ff5b	success	train	1.541374126	409.197049	422.550163	11732.405	0.000	68.014080	1107	16.973856	4	16183389	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-045059	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-045059/results.json
ar5090-20260322-050601	7634ed5d87f47a79826ecce74fa86fc594443d7c9aac3c6dee35b5b1d6507725	success	train	1.543505647	411.769393	427.678687	11830.878	0.000	67.215360	1094	17.500192	4	10800942	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-050601	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-050601/results.json
ar5090-20260322-052349	33636c206e2fb2fd5be7abf0ef55c8185f5532ae4c4cf9a01da00a106c52a3d8	success	train	1.542626316	411.589492	425.478068	11830.878	0.000	67.092480	1092	17.500192	4	13023619	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-052349	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-052349/results.json
ar5090-20260322-053835	fd1ffa795a7f85b69d0dbf0bddd2480c203c91ae64ccbad793cd86e5ec3ff587	success	train	1.538812822	411.527474	423.568362	11768.122	0.000	61.317120	1996	17.500192	4	15951074	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-053835	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-053835/results.json
ar5090-20260322-060330	d1a0e342f2f9a942c3f827664e64aca0b2caaa1cbb54a30426abbe5578249475	success	train	1.544183941	409.803202	424.387127	11561.567	0.000	68.751360	1119	17.966112	4	9435045	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-060330	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-060330/results.json
ar5090-20260322-061953	e47a11c529fee8ddd65407ebe83df62c228d90bced0c3204e75b7aa10c044452	success	train	1.535039374	411.721288	425.834893	11829.061	0.000	66.969600	1090	17.467168	4	15261334	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-061953	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-061953/results.json
ar5090-20260322-063743	71e0e4ffd91e1ab6c1b4db024fb63f0535c068cb426822996bf84af82d339987	success	train	1.541310392	411.619437	425.988567	11827.878	0.000	67.276800	1095	17.500192	4	14243136	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-063743	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-063743/results.json
ar5090-20260322-065503	f699ff80751464e6e8c3a19b42f0cd4c1f35cecb650e2018ee6a56e220b05381	success	train	1.529098989	411.626462	426.202528	11827.878	0.000	66.846720	1088	17.500192	4	15315065	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-065503	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-065503/results.json
ar5090-20260322-071410	2202f4ce1e0f2c5ea6cd1b8dec60f8f6b91332090d8841e554bf67980c3d06d7	success	train	1.546676884	415.327724	432.817736	12770.188	0.000	64.512000	1050	18.082848	4	9389535	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-071410	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-071410/results.json
ar5090-20260322-073023	f511686318abc79cdc83324772e2a58c3ca3764e1bcd3c1b6c6ada9ce8f76f40	success	train	1.532419057	411.547240	424.781251	9522.886	0.000	66.699264	1357	17.500192	4	15546817	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-073023	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-073023/results.json
ar5090-20260322-074602	9e4daa120198251fdc628a1d0284d1006fe60ce87a514122903ae529532d8239	success	train	1.558960774	411.641708	425.872036	9522.886	0.000	66.502656	1353	17.500192	4	12249953	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-074602	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-074602/results.json
ar5090-20260322-080057	bde628776269444fe45df32fd4fa304651e8de8e5e01c2123906a10e2f73c3dc	success	train	1.543848077	411.661967	425.720014	11826.878	0.000	67.399680	1097	17.500192	4	15371199	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-080057	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-080057/results.json
ar5090-20260322-082029	8add2cd245fc010897074850402eedcd86f1ee949a1c67a6d636dac624196a80	success	train	1.557113719	412.996568	429.515712	11889.909	0.000	65.372160	1064	17.566240	4	9253183	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-082029	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-082029/results.json
ar5090-20260322-083642	d6b1496c8c7e3ee2932589f594929846ba7859537e6c8918a571f1c3ff5c08cd	success	train	1.539626954	412.071011	428.273775	11863.971	0.000	66.600960	1084	17.600288	4	9180780	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-083642	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-083642/results.json
ar5090-20260322-085310	8e44620ece87a4b829704a740511b28e5466c62a4b639d73520073ef28c6cea8	success	train	1.562557665	439.004194	456.610456	11599.735	0.000	53.477376	1088	22.351912	5	11516897	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-085310	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-085310/results.json
ar5090-20260322-090834	3afd2c115abb2bd25be1aa9e7643da6a5c374b6ed31f155a13647945d32a6799	success	train	1.537538912	412.009987	426.468500	11853.680	0.000	67.153920	1093	17.634336	4	15267914	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-090834	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-090834/results.json
ar5090-20260322-092317	a05d10f1839ebbd3532481424f0249cea9ad2eeaae8ffb50ffaae0808b3eb864	success	train	1.537695648	411.976188	426.678912	11851.680	0.000	66.969600	1090	17.634336	4	12327126	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-092317	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-092317/results.json
ar5090-20260322-094022	31423b5b248886bfa4ada348c392ff53f690ff141607c0717694d48c0dc72104	success	train	1.535119154	411.599246	426.441028	11829.061	0.000	66.846720	1088	17.467168	4	12007446	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-094022	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-094022/results.json
