params=7,311,756 est_fp16_artifact=13.95MB
train_loader pattern=./data/datasets/fineweb10B_sp1024/fineweb_train_*.bin
val_loader pattern=./data/datasets/fineweb10B_sp1024/fineweb_val_*.bin tokens=62021632
training window: start_g=0 target_g=1000000000 run_update_budget=125000000
u=5100 g=40800 loss=0.3516 lr=0.0003 tok/step=32768
u=5120 g=40960 loss=0.1459 lr=0.0003 tok/step=32768
u=5140 g=41120 loss=0.1220 lr=0.0003 tok/step=32768
u=5160 g=41280 loss=0.1211 lr=0.0003 tok/step=32768
u=5180 g=41440 loss=0.1495 lr=0.0003 tok/step=32768
u=5200 g=41600 loss=0.1252 lr=0.0003 tok/step=32768
u=5220 g=41760 loss=0.1331 lr=0.0003 tok/step=32768
u=5240 g=41920 loss=0.1303 lr=0.0003 tok/step=32768
u=5260 g=42080 loss=0.2429 lr=0.0003 tok/step=32768
u=5280 g=42240 loss=0.2130 lr=0.0003 tok/step=32768
u=5300 g=42400 loss=0.1322 lr=0.0003 tok/step=32768
u=5320 g=42560 loss=0.2047 lr=0.0003 tok/step=32768
u=5340 g=42720 loss=0.1913 lr=0.0003 tok/step=32768
u=5360 g=42880 loss=0.1248 lr=0.0003 tok/step=32768
u=5380 g=43040 loss=0.1296 lr=0.0003 tok/step=32768
u=5400 g=43200 loss=0.1168 lr=0.0003 tok/step=32768
u=5420 g=43360 loss=0.1348 lr=0.0003 tok/step=32768
u=5440 g=43520 loss=0.1225 lr=0.0003 tok/step=32768
u=5460 g=43680 loss=0.1113 lr=0.0003 tok/step=32768
u=5480 g=43840 loss=0.2101 lr=0.0003 tok/step=32768
u=5500 g=44000 loss=0.1368 lr=0.0003 tok/step=32768
u=5520 g=44160 loss=0.1333 lr=0.0003 tok/step=32768
u=5540 g=44320 loss=0.1084 lr=0.0003 tok/step=32768
u=5560 g=44480 loss=0.1312 lr=0.0003 tok/step=32768
u=5580 g=44640 loss=0.1099 lr=0.0003 tok/step=32768
u=5600 g=44800 loss=0.1091 lr=0.0003 tok/step=32768
u=5620 g=44960 loss=0.1067 lr=0.0003 tok/step=32768
u=5640 g=45120 loss=0.1450 lr=0.0003 tok/step=32768
u=5660 g=45280 loss=0.1616 lr=0.0003 tok/step=32768
u=5680 g=45440 loss=0.1334 lr=0.0003 tok/step=32768
u=5700 g=45600 loss=0.1147 lr=0.0003 tok/step=32768
u=5720 g=45760 loss=0.1142 lr=0.0003 tok/step=32768
u=5740 g=45920 loss=0.1160 lr=0.0003 tok/step=32768
u=5760 g=46080 loss=0.1112 lr=0.0003 tok/step=32768
u=5780 g=46240 loss=0.1119 lr=0.0003 tok/step=32768
u=5800 g=46400 loss=0.1838 lr=0.0003 tok/step=32768
u=5820 g=46560 loss=0.1546 lr=0.0003 tok/step=32768
u=5840 g=46720 loss=0.1286 lr=0.0003 tok/step=32768
u=5860 g=46880 loss=0.1189 lr=0.0003 tok/step=32768
u=5880 g=47040 loss=0.1099 lr=0.0003 tok/step=32768
u=5900 g=47200 loss=0.1201 lr=0.0003 tok/step=32768
u=5920 g=47360 loss=0.1258 lr=0.0003 tok/step=32768
u=5940 g=47520 loss=0.0997 lr=0.0003 tok/step=32768
u=5960 g=47680 loss=0.0948 lr=0.0003 tok/step=32768
u=5980 g=47840 loss=0.1231 lr=0.0003 tok/step=32768
u=6000 g=48000 loss=0.0980 lr=0.0003 tok/step=32768
u=6020 g=48160 loss=0.0936 lr=0.0003 tok/step=32768
u=6040 g=48320 loss=0.1461 lr=0.0003 tok/step=32768
u=6060 g=48480 loss=0.1066 lr=0.0003 tok/step=32768
u=6080 g=48640 loss=0.1162 lr=0.0003 tok/step=32768
u=6100 g=48800 loss=0.1138 lr=0.0003 tok/step=32768
u=6120 g=48960 loss=0.0909 lr=0.0003 tok/step=32768
u=6140 g=49120 loss=0.1060 lr=0.0003 tok/step=32768
u=6160 g=49280 loss=0.0998 lr=0.0003 tok/step=32768
u=6180 g=49440 loss=0.1142 lr=0.0003 tok/step=32768
u=6200 g=49600 loss=0.0984 lr=0.0003 tok/step=32768
u=6220 g=49760 loss=0.1049 lr=0.0003 tok/step=32768
u=6240 g=49920 loss=0.0961 lr=0.0003 tok/step=32768
u=6260 g=50080 loss=0.1191 lr=0.0003 tok/step=32768
u=6280 g=50240 loss=0.1034 lr=0.0003 tok/step=32768
u=6300 g=50400 loss=0.1714 lr=0.0003 tok/step=32768
u=6320 g=50560 loss=0.1203 lr=0.0003 tok/step=32768
u=6340 g=50720 loss=0.1540 lr=0.0003 tok/step=32768
u=6360 g=50880 loss=0.1229 lr=0.0003 tok/step=32768
u=6380 g=51040 loss=0.1043 lr=0.0003 tok/step=32768
u=6400 g=51200 loss=0.0910 lr=0.0003 tok/step=32768
u=6420 g=51360 loss=0.2655 lr=0.0003 tok/step=32768
u=6440 g=51520 loss=0.1105 lr=0.0003 tok/step=32768
u=6460 g=51680 loss=0.1023 lr=0.0003 tok/step=32768
u=6480 g=51840 loss=0.0919 lr=0.0003 tok/step=32768
u=6500 g=52000 loss=0.1009 lr=0.0003 tok/step=32768
u=6520 g=52160 loss=0.1028 lr=0.0003 tok/step=32768
u=6540 g=52320 loss=0.5132 lr=0.0003 tok/step=32768
u=6560 g=52480 loss=0.1292 lr=0.0003 tok/step=32768
u=6580 g=52640 loss=0.1183 lr=0.0003 tok/step=32768
u=6600 g=52800 loss=0.1053 lr=0.0003 tok/step=32768
u=6620 g=52960 loss=0.0979 lr=0.0003 tok/step=32768
u=6640 g=53120 loss=0.1134 lr=0.0003 tok/step=32768
u=6660 g=53280 loss=0.1352 lr=0.0003 tok/step=32768
u=6680 g=53440 loss=0.0947 lr=0.0003 tok/step=32768
u=6700 g=53600 loss=0.1017 lr=0.0003 tok/step=32768
u=6720 g=53760 loss=0.1090 lr=0.0003 tok/step=32768
u=6740 g=53920 loss=0.0898 lr=0.0003 tok/step=32768
u=6760 g=54080 loss=0.0974 lr=0.0003 tok/step=32768
u=6780 g=54240 loss=0.1211 lr=0.0003 tok/step=32768
u=6800 g=54400 loss=0.1049 lr=0.0003 tok/step=32768
u=6820 g=54560 loss=0.0921 lr=0.0003 tok/step=32768
u=6840 g=54720 loss=0.0925 lr=0.0003 tok/step=32768
u=6860 g=54880 loss=0.1111 lr=0.0003 tok/step=32768
u=6880 g=55040 loss=0.0862 lr=0.0003 tok/step=32768
u=6900 g=55200 loss=0.1026 lr=0.0003 tok/step=32768
u=6920 g=55360 loss=0.0904 lr=0.0003 tok/step=32768
u=6940 g=55520 loss=0.1032 lr=0.0003 tok/step=32768
u=6960 g=55680 loss=0.1181 lr=0.0003 tok/step=32768
u=6980 g=55840 loss=0.0893 lr=0.0003 tok/step=32768
u=7000 g=56000 loss=0.0902 lr=0.0003 tok/step=32768
u=7020 g=56160 loss=0.0916 lr=0.0003 tok/step=32768
u=7040 g=56320 loss=0.0985 lr=0.0003 tok/step=32768
u=7060 g=56480 loss=0.0981 lr=0.0003 tok/step=32768
u=7080 g=56640 loss=0.1268 lr=0.0003 tok/step=32768
u=7100 g=56800 loss=0.0879 lr=0.0003 tok/step=32768
u=7120 g=56960 loss=0.1372 lr=0.0003 tok/step=32768
u=7140 g=57120 loss=0.1480 lr=0.0003 tok/step=32768
