step,grad_total,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10
715,0.2547,0.0862,0.0707,0.0653,0.0651,0.0618,0.0641,0.0646,0.0652,0.0641,0.0777,0.1051
720,0.3045,0.091,0.0694,0.0653,0.0644,0.0672,0.0681,0.0649,0.0677,0.067,0.0815,0.1371
725,0.2358,0.0879,0.0712,0.0653,0.0611,0.0577,0.061,0.0595,0.0582,0.0556,0.0672,0.0858
730,0.3041,0.1052,0.0862,0.0797,0.0779,0.0758,0.0741,0.0703,0.0705,0.0654,0.0828,0.1051
735,0.235,0.0733,0.0629,0.0569,0.055,0.0533,0.0582,0.0561,0.0555,0.0552,0.0656,0.0861
740,0.2763,0.0873,0.071,0.0676,0.0658,0.0657,0.0685,0.0663,0.0685,0.0643,0.0777,0.1016
745,0.2542,0.086,0.0687,0.0621,0.0597,0.0568,0.0605,0.0611,0.0642,0.0608,0.0737,0.1218
750,0.2884,0.097,0.08,0.0734,0.0707,0.0714,0.0738,0.0666,0.0655,0.0625,0.0759,0.1175
755,0.2527,0.0857,0.0739,0.0674,0.0657,0.0632,0.0646,0.0635,0.0644,0.061,0.0728,0.1036
760,0.2547,0.0887,0.0758,0.0707,0.0684,0.0675,0.0712,0.0679,0.0645,0.06,0.0706,0.0914
765,0.2858,0.0926,0.0741,0.0689,0.0654,0.0621,0.0683,0.0698,0.0722,0.0699,0.0845,0.1111
770,0.2455,0.0822,0.0683,0.0633,0.0605,0.0586,0.0611,0.061,0.0603,0.0588,0.0705,0.09
775,0.2497,0.0789,0.0651,0.0598,0.0585,0.0592,0.0654,0.0645,0.0642,0.0622,0.0758,0.1183
780,0.2743,0.0943,0.0761,0.0707,0.066,0.0625,0.063,0.0614,0.0619,0.0595,0.0729,0.112
785,0.2526,0.0838,0.0705,0.0691,0.0665,0.0717,0.0741,0.0665,0.0629,0.0568,0.0674,0.0842
790,0.2534,0.0764,0.0656,0.0605,0.0567,0.0556,0.0646,0.0635,0.0647,0.0608,0.0729,0.1177
795,0.2737,0.0963,0.0802,0.0728,0.0683,0.065,0.0699,0.0698,0.0678,0.0663,0.0791,0.1109
800,0.2479,0.0687,0.0581,0.0547,0.0538,0.0516,0.0582,0.0568,0.0583,0.0553,0.0676,0.1187
805,0.2505,0.0821,0.0707,0.0684,0.0662,0.0666,0.0708,0.0651,0.0612,0.0563,0.066,0.085
810,0.2775,0.0801,0.0693,0.0644,0.0602,0.0579,0.0643,0.0635,0.0648,0.0605,0.0751,0.1249
815,0.2489,0.0748,0.0659,0.0626,0.0613,0.0622,0.066,0.0617,0.0622,0.0595,0.0729,0.109
