step,wallclock_s,step_time_ms,fwd_us,bwd_us,opt_us,dataloader_us,active_bytes,reserved_bytes,num_alloc_retries,num_device_alloc,num_device_free
180,6936839.998020,185.336,-1.0,-1.0,-1.0,462.4,683933696,46393196544,0,348,0
181,6936840.182936,184.916,-1.0,-1.0,-1.0,336.6,683933696,46393196544,0,348,0
182,6936840.370534,187.599,-1.0,-1.0,-1.0,469.1,683933696,46393196544,0,348,0
183,6936840.555763,185.228,-1.0,-1.0,-1.0,462.2,683933696,46393196544,0,348,0
184,6936840.742006,186.243,-1.0,-1.0,-1.0,460.5,683933696,46393196544,0,348,0
185,6936840.925318,183.313,-1.0,-1.0,-1.0,464.4,683933696,46393196544,0,348,0
186,6936841.113785,188.467,-1.0,-1.0,-1.0,306.5,683933696,46393196544,0,348,0
187,6936841.298420,184.634,-1.0,-1.0,-1.0,196.1,683933696,46393196544,0,348,0
188,6936841.483360,184.940,-1.0,-1.0,-1.0,327.0,683933696,46393196544,0,348,0
189,6936841.670500,187.140,-1.0,-1.0,-1.0,320.2,683933696,46393196544,0,348,0
190,6936841.856602,186.101,-1.0,-1.0,-1.0,198.6,683933696,46393196544,0,348,0
191,6936842.042180,185.578,-1.0,-1.0,-1.0,479.2,683933696,46393196544,0,348,0
192,6936842.228230,186.050,-1.0,-1.0,-1.0,454.4,683933696,46393196544,0,348,0
193,6936842.413726,185.496,-1.0,-1.0,-1.0,324.5,683933696,46393196544,0,348,0
194,6936842.600324,186.598,-1.0,-1.0,-1.0,472.5,683933696,46393196544,0,348,0
195,6936842.789610,189.286,-1.0,-1.0,-1.0,335.9,683933696,46393196544,0,348,0
196,6936842.976614,187.004,-1.0,-1.0,-1.0,313.2,683933696,46393196544,0,348,0
197,6936843.161166,184.552,-1.0,-1.0,-1.0,316.5,683933696,46393196544,0,348,0
198,6936843.346662,185.497,-1.0,-1.0,-1.0,219.5,683933696,46393196544,0,348,0
199,6936843.532729,186.067,-1.0,-1.0,-1.0,350.6,683933696,46393196544,0,348,0
200,6936843.717582,184.853,-1.0,-1.0,-1.0,678.9,683933696,46393196544,0,348,0
201,6936843.911237,193.655,-1.0,-1.0,-1.0,199.1,683933696,46393196544,0,348,0
202,6936844.098373,187.136,-1.0,-1.0,-1.0,336.2,683933696,46393196544,0,348,0
203,6936844.283430,185.056,-1.0,-1.0,-1.0,522.8,683933696,46393196544,0,348,0
204,6936844.468539,185.110,-1.0,-1.0,-1.0,293.3,683933696,46393196544,0,348,0
205,6936844.654370,185.830,-1.0,-1.0,-1.0,252.6,683933696,46393196544,0,348,0
206,6936844.840556,186.186,-1.0,-1.0,-1.0,267.8,683933696,46393196544,0,348,0
207,6936845.026898,186.342,-1.0,-1.0,-1.0,260.3,683933696,46393196544,0,348,0
208,6936845.212953,186.056,-1.0,-1.0,-1.0,254.2,683933696,46393196544,0,348,0
209,6936845.397916,184.962,-1.0,-1.0,-1.0,261.6,683933696,46393196544,0,348,0
210,6936845.582254,184.338,-1.0,-1.0,-1.0,270.8,683933696,46393196544,0,348,0
211,6936845.769287,187.034,-1.0,-1.0,-1.0,266.1,683933696,46393196544,0,348,0
212,6936845.955331,186.043,-1.0,-1.0,-1.0,198.5,683933696,46393196544,0,348,0
213,6936846.141273,185.942,-1.0,-1.0,-1.0,198.4,683933696,46393196544,0,348,0
214,6936846.326177,184.905,-1.0,-1.0,-1.0,451.7,683933696,46393196544,0,348,0
215,6936846.512928,186.751,-1.0,-1.0,-1.0,236.5,683933696,46393196544,0,348,0
216,6936846.698789,185.861,-1.0,-1.0,-1.0,319.4,683933696,46393196544,0,348,0
217,6936846.882698,183.910,-1.0,-1.0,-1.0,312.3,683933696,46393196544,0,348,0
218,6936847.070635,187.937,-1.0,-1.0,-1.0,667.3,683933696,46393196544,0,348,0
219,6936847.255802,185.167,-1.0,-1.0,-1.0,550.8,683933696,46393196544,0,348,0
220,6936847.440406,184.604,-1.0,-1.0,-1.0,207.8,683933696,46393196544,0,348,0
221,6936847.626453,186.048,-1.0,-1.0,-1.0,325.8,683933696,46393196544,0,348,0
222,6936847.812101,185.648,-1.0,-1.0,-1.0,454.0,683933696,46393196544,0,348,0
223,6936847.999235,187.134,-1.0,-1.0,-1.0,322.9,683933696,46393196544,0,348,0
224,6936848.184209,184.974,-1.0,-1.0,-1.0,336.3,683933696,46393196544,0,348,0
225,6936848.372495,188.285,-1.0,-1.0,-1.0,193.8,683933696,46393196544,0,348,0
226,6936848.557346,184.852,-1.0,-1.0,-1.0,432.8,683933696,46393196544,0,348,0
